Month,Open,High,Low,Close
November-2023,7248.81,7688.24,7207.27,7679.10,
December-2023,7706.79,8339.41,7703.52,8326.88,
January-2024,8332.17,8495.26,8124.29,8372.06,
February-2024,8403.63,8635.30,8306.50,8534.56,
March-2024,8557.70,8740.47,8383.19,8681.54,
April-2024,8725.76,8920.68,8509.06,8850.26,
May-2024,8849.85,9090.36,8551.25,8869.99,
June-2024,9203.35,9476.14,8312.21,9416.27,
July-2024,9422.55,9797.96,9378.51,9782.03,
August-2024,9812.46,9871.33,9365.51,9853.12,
September-2024,9896.33,10255.62,9675.57,10085.47,
October-2024,10089.36,10125.12,9589.49,9701.51,
