Month,Open,High,Low,Close
September-2021,23994.50,25650.37,23852.06,25253.09,
October-2021,25227.90,27246.34,24807.04,25277.72,
November-2021,25439.87,26616.53,24093.47,24687.60,
December-2021,24829.79,25913.37,23377.24,24970.08,
January-2022,25055.18,26281.49,23490.48,24613.01,
February-2022,24874.79,25184.29,22227.98,23355.61,
March-2022,23258.10,24174.72,21843.95,24107.97,
April-2022,24168.52,25492.92,24109.12,24418.04,
May-2022,24269.08,24469.54,21463.02,23143.82,
June-2022,23175.37,23310.40,20814.22,21713.24,
July-2022,21698.49,24121.50,21502.58,24050.90,
August-2022,24178.89,25425.45,24057.73,25408.49,
September-2022,25286.55,26430.89,24278.63,24853.94,
October-2022,24820.07,25469.93,24458.06,25359.02,
November-2022,25393.66,26049.67,24989.38,25950.89,
December-2022,26048.16,26440.81,24241.20,25314.50,
January-2023,25407.30,25581.97,24046.20,24642.73,
February-2023,24815.52,24999.26,23807.94,24157.96,
March-2023,24161.91,25040.69,23356.61,24065.59,
April-2023,24142.69,25513.19,24054.26,25492.43,
May-2023,25559.64,27146.93,25555.41,27100.05,
June-2023,27104.93,28791.86,27079.98,28776.20,
July-2023,28840.21,30440.32,28763.37,30419.75,
August-2023,30468.17,31352.15,29677.64,31200.60,
September-2023,31243.01,33245.85,31179.22,32340.71,
October-2023,32383.24,32596.58,30243.96,31245.10,
November-2023,31308.57,34293.56,31107.51,34256.42,
December-2023,34401.07,36889.87,34378.64,36839.22,
January-2024,37020.08,38797.40,36576.85,38774.50,
February-2024,38962.33,40282.49,38062.00,39346.98,
March-2024,39637.33,40163.34,37138.02,39322.12,
April-2024,39643.22,42396.21,39348.75,42121.40,
May-2024,42304.31,43986.38,40236.67,42852.69,
June-2024,44462.29,46442.90,39112.44,46158.35,
July-2024,46344.08,48680.74,44961.72,48634.46,
August-2024,48792.75,49186.33,45528.91,49065.36,
September-2024,49269.41,49701.15,47895.81,49351.91,
October-2024,49414.21,49532.84,46653.60,47946.33,
